*******************************************************************************
JPL/HORIZONS                  1 Ceres (A801 AA)            2021-May-29 11:14:24
Rec #:       1 (+COV) Soln.date: 2021-Apr-13_11:04:44   # obs: 1075 (1995-2021)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2458849.5 ! 2020-Jan-01.00 (TDB)         Residual RMS= .24563
   EC= .07687465013145245  QR= 2.556401146697176   TP= 2458240.1791309435
   OM= 80.3011901917491    W=  73.80896808746482   IN= 10.59127767086216
   A= 2.769289292143484    MA= 130.3159688200986   ADIST= 2.982177437589792
   PER= 4.60851            N= .213870839           ANGMOM= .028541613
   DAN= 2.69515            DDN= 2.81323            L= 153.8445988
   B= 10.1666388           MOID= 1.59231997        TP= 2018-May-01.6791309435
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= 62.6284             RAD= 469.7              ROTPER= 9.07417
   H= 3.53                 G= .120                 B-V= .713
                           ALBEDO= .090            STYP= C
 
ASTEROID comments: 
1: soln ref.= JPL#48, OCC=0           radar(60 delay, 0 Dop.)
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sat May 29 11:14:24 2021 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 1 Ceres (A801 AA)               {source: JPL#48}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2019-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2021-Dec-31 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB441-N16}
Output units    : KM-S
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2458849.5 ! 2020-Jan-01.00 (TDB)         Residual RMS= .24563        
   EC= .07687465013145245  QR= 2.556401146697176   TP= 2458240.1791309435      
   OM= 80.3011901917491    W=  73.80896808746482   IN= 10.59127767086216       
  Equivalent ICRF heliocentric cartesian coordinates (au, au/d):
   X= 1.007608869613381E+00  Y=-2.390064275223502E+00  Z=-1.332124522752402E+00
  VX= 9.201724467227128E-03 VY= 3.370381135398406E-03 VZ=-2.850337057661093E-04
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= 62.6284             RAD= 469.7              ROTPER= 9.07417             
   H= 3.53                 G= .120                 B-V= .713                   
                           ALBEDO= .090            STYP= C                     
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
2458497.500000000, A.D. 2019-Jan-14 00:00:00.0000, -3.142931242422208E+08, -2.381253183362060E+08,  5.037784446778511E+07,  9.924715748594345E+00, -1.555647278314084E+01, -2.321948257598205E+00,
2458498.500000000, A.D. 2019-Jan-15 00:00:00.0000, -3.134331648515151E+08, -2.394675180158022E+08,  5.017683298858628E+07,  9.981718041853890E+00, -1.551292936788647E+01, -2.331087951119500E+00,
2458499.500000000, A.D. 2019-Jan-16 00:00:00.0000, -3.125682891783565E+08, -2.408059465201957E+08,  4.997503373109343E+07,  1.003851846838526E+01, -1.546917724500244E+01, -2.340183850871904E+00,
2458500.500000000, A.D. 2019-Jan-17 00:00:00.0000, -3.116985146936827E+08, -2.421405858647987E+08,  4.977245048305739E+07,  1.009511634289491E+01, -1.542521752008544E+01, -2.349235865187902E+00,
2458501.500000000, A.D. 2019-Jan-18 00:00:00.0000, -3.108238589273544E+08, -2.434714181606082E+08,  4.956908704009434E+07,  1.015151098671913E+01, -1.538105130013912E+01, -2.358243903664748E+00,
2458502.500000000, A.D. 2019-Jan-19 00:00:00.0000, -3.099443394675826E+08, -2.447984256143256E+08,  4.936494720557677E+07,  1.020770172781437E+01, -1.533667969352913E+01, -2.367207877161190E+00,
2458503.500000000, A.D. 2019-Jan-20 00:00:00.0000, -3.090599739603575E+08, -2.461215905284719E+08,  4.916003479052456E+07,  1.026368790074702E+01, -1.529210380993859E+01, -2.376127697794127E+00,
2458504.500000000, A.D. 2019-Jan-21 00:00:00.0000, -3.081707801088774E+08, -2.474408953015003E+08,  4.895435361349652E+07,  1.031946884668327E+01, -1.524732476032324E+01, -2.385003278935288E+00,
2458505.500000000, A.D. 2019-Jan-22 00:00:00.0000, -3.072767756729791E+08, -2.487563224279040E+08,  4.874790750048197E+07,  1.037504391337821E+01, -1.520234365686736E+01, -2.393834535207772E+00,
2458506.500000000, A.D. 2019-Jan-23 00:00:00.0000, -3.063779784685693E+08, -2.500678544983203E+08,  4.854070028479293E+07,  1.043041245516492E+01, -1.515716161293970E+01, -2.402621382482605E+00,
2458507.500000000, A.D. 2019-Jan-24 00:00:00.0000, -3.054744063670564E+08, -2.513754741996312E+08,  4.833273580695636E+07,  1.048557383294300E+01, -1.511177974304973E+01, -2.411363737875206E+00,
2458508.500000000, A.D. 2019-Jan-25 00:00:00.0000, -3.045660772947838E+08, -2.526791643150600E+08,  4.812401791460684E+07,  1.054052741416707E+01, -1.506619916280381E+01, -2.420061519741829E+00,
2458509.500000000, A.D. 2019-Jan-26 00:00:00.0000, -3.036530092324641E+08, -2.539789077242643E+08,  4.791455046237941E+07,  1.059527257283477E+01, -1.502042098886194E+01, -2.428714647675970E+00,
2458510.500000000, A.D. 2019-Jan-27 00:00:00.0000, -3.027352202146146E+08, -2.552746874034248E+08,  4.770433731180304E+07,  1.064980868947455E+01, -1.497444633889474E+01, -2.437323042504698E+00,
2458511.500000000, A.D. 2019-Jan-28 00:00:00.0000, -3.018127283289928E+08, -2.565664864253316E+08,  4.749338233119399E+07,  1.070413515113289E+01, -1.492827633153980E+01, -2.445886626284945E+00,
2458512.500000000, A.D. 2019-Jan-29 00:00:00.0000, -3.008855517160343E+08, -2.578542879594648E+08,  4.728168939554983E+07,  1.075825135136181E+01, -1.488191208635989E+01, -2.454405322299805E+00,
2458513.500000000, A.D. 2019-Jan-30 00:00:00.0000, -2.999537085682915E+08, -2.591380752720732E+08,  4.706926238644363E+07,  1.081215669020554E+01, -1.483535472379986E+01, -2.462879055054747E+00,
2458514.500000000, A.D. 2019-Jan-31 00:00:00.0000, -2.990172171298730E+08, -2.604178317262490E+08,  4.685610519191856E+07,  1.086585057418716E+01, -1.478860536514446E+01, -2.471307750273777E+00,
2458515.500000000, A.D. 2019-Feb-01 00:00:00.0000, -2.980760956958841E+08, -2.616935407819977E+08,  4.664222170638268E+07,  1.091933241629457E+01, -1.474166513247694E+01, -2.479691334895552E+00,
2458516.500000000, A.D. 2019-Feb-02 00:00:00.0000, -2.971303626118695E+08, -2.629651859963063E+08,  4.642761583050425E+07,  1.097260163596795E+01, -1.469453514863428E+01, -2.488029737069736E+00,
2458517.500000000, A.D. 2019-Feb-03 00:00:00.0000, -2.961800362732558E+08, -2.642327510232056E+08,  4.621229147110721E+07,  1.102565765908350E+01, -1.464721653716967E+01, -2.496322886152708E+00,
2458518.500000000, A.D. 2019-Feb-04 00:00:00.0000, -2.952251351247967E+08, -2.654962196138308E+08,  4.599625254106712E+07,  1.107849991794025E+01, -1.459971042230844E+01, -2.504570712703834E+00,
2458519.500000000, A.D. 2019-Feb-05 00:00:00.0000, -2.942656776600178E+08, -2.667555756164780E+08,  4.577950295920742E+07,  1.113112785124503E+01, -1.455201792890734E+01, -2.512773148481450E+00,
2458520.500000000, A.D. 2019-Feb-06 00:00:00.0000, -2.933016824206645E+08, -2.680108029766563E+08,  4.556204665019589E+07,  1.118354090409670E+01, -1.450414018241399E+01, -2.520930126438717E+00,
2458521.500000000, A.D. 2019-Feb-07 00:00:00.0000, -2.923331679961503E+08, -2.692618857371382E+08,  4.534388754444180E+07,  1.123573852797433E+01, -1.445607830882407E+01, -2.529041580720023E+00,
2458522.500000000, A.D. 2019-Feb-08 00:00:00.0000, -2.913601530230053E+08, -2.705088080380036E+08,  4.512502957799294E+07,  1.128772018071708E+01, -1.440783343464329E+01, -2.537107446656327E+00,
2458523.500000000, A.D. 2019-Feb-09 00:00:00.0000, -2.903826561843286E+08, -2.717515541166839E+08,  4.490547669243345E+07,  1.133948532651138E+01, -1.435940668684534E+01, -2.545127660761410E+00,
2458524.500000000, A.D. 2019-Feb-10 00:00:00.0000, -2.894006962092394E+08, -2.729901083079991E+08,  4.468523283478168E+07,  1.139103343587438E+01, -1.431079919283196E+01, -2.553102160727684E+00,
2458525.500000000, A.D. 2019-Feb-11 00:00:00.0000, -2.884142918723319E+08, -2.742244550441943E+08,  4.446430195738863E+07,  1.144236398563727E+01, -1.426201208039281E+01, -2.561030885422025E+00,
2458526.500000000, A.D. 2019-Feb-12 00:00:00.0000, -2.874234619931295E+08, -2.754545788549705E+08,  4.424268801783667E+07,  1.149347645893226E+01, -1.421304647766584E+01, -2.568913774881790E+00,
2458527.500000000, A.D. 2019-Feb-13 00:00:00.0000, -2.864282254355416E+08, -2.766804643675137E+08,  4.402039497883832E+07,  1.154437034517172E+01, -1.416390351309725E+01, -2.576750770310396E+00,
2458528.500000000, A.D. 2019-Feb-14 00:00:00.0000, -2.854286011073215E+08, -2.779020963065194E+08,  4.379742680813608E+07,  1.159504514003411E+01, -1.411458431540219E+01, -2.584541814073290E+00,
2458529.500000000, A.D. 2019-Feb-15 00:00:00.0000, -2.844246079595259E+08, -2.791194594942145E+08,  4.357378747840205E+07,  1.164550034544676E+01, -1.406509001352544E+01, -2.592286849693682E+00,
2458530.500000000, A.D. 2019-Feb-16 00:00:00.0000, -2.834162649859754E+08, -2.803325388503752E+08,  4.334948096713794E+07,  1.169573546956929E+01, -1.401542173660261E+01, -2.599985821848336E+00,
2458531.500000000, A.D. 2019-Feb-17 00:00:00.0000, -2.824035912227175E+08, -2.815413193923415E+08,  4.312451125657577E+07,  1.174575002677648E+01, -1.396558061392114E+01, -2.607638676363337E+00,
2458532.500000000, A.D. 2019-Feb-18 00:00:00.0000, -2.813866057474890E+08, -2.827457862350295E+08,  4.289888233357871E+07,  1.179554353764094E+01, -1.391556777488159E+01, -2.615245360209834E+00,
2458533.500000000, A.D. 2019-Feb-19 00:00:00.0000, -2.803653276791831E+08, -2.839459245909388E+08,  4.267259818954225E+07,  1.184511552891623E+01, -1.386538434895896E+01, -2.622805821499846E+00,
2458534.500000000, A.D. 2019-Feb-20 00:00:00.0000, -2.793397761773144E+08, -2.851417197701575E+08,  4.244566282029590E+07,  1.189446553351874E+01, -1.381503146566600E+01, -2.630320009481760E+00,
2458535.500000000, A.D. 2019-Feb-21 00:00:00.0000, -2.783099704414881E+08, -2.863331571803635E+08,  4.221808022600520E+07,  1.194359309051119E+01, -1.376451025451343E+01, -2.637787874536319E+00,
2458536.500000000, A.D. 2019-Feb-22 00:00:00.0000, -2.772759297108697E+08, -2.875202223268238E+08,  4.198985441107395E+07,  1.199249774508460E+01, -1.371382184497332E+01, -2.645209368172170E+00,
2458537.500000000, A.D. 2019-Feb-23 00:00:00.0000, -2.762376732636556E+08, -2.887029008123882E+08,  4.176098938404717E+07,  1.204117904854074E+01, -1.366296736644151E+01, -2.652584443021605E+00,
2458538.500000000, A.D. 2019-Feb-24 00:00:00.0000, -2.751952204165469E+08, -2.898811783374815E+08,  4.153148915751389E+07,  1.208963655827414E+01, -1.361194794820084E+01, -2.659913052836146E+00,
2458539.500000000, A.D. 2019-Feb-25 00:00:00.0000, -2.741485905242229E+08, -2.910550407000928E+08,  4.130135774801098E+07,  1.213786983775421E+01, -1.356076471938444E+01, -2.667195152482210E+00,
2458540.500000000, A.D. 2019-Feb-26 00:00:00.0000, -2.730978029788176E+08, -2.922244737957604E+08,  4.107059917592674E+07,  1.218587845650752E+01, -1.350941880893909E+01, -2.674430697936769E+00,
2458541.500000000, A.D. 2019-Feb-27 00:00:00.0000, -2.720428772093969E+08, -2.933894636175541E+08,  4.083921746540530E+07,  1.223366199009960E+01, -1.345791134558944E+01, -2.681619646282947E+00,
2458542.500000000, A.D. 2019-Feb-28 00:00:00.0000, -2.709838326814372E+08, -2.945499962560548E+08,  4.060721664425114E+07,  1.228122002011697E+01, -1.340624345780234E+01, -2.688761955705600E+00,
2458543.500000000, A.D. 2019-Mar-01 00:00:00.0000, -2.699206888963069E+08, -2.957060578993303E+08,  4.037460074383411E+07,  1.232855213414619E+01, -1.335441627375142E+01, -2.695857585486473E+00,
2458544.500000000, A.D. 2019-Mar-02 00:00:00.0000, -2.688534653907481E+08, -2.968576348329089E+08,  4.014137379899500E+07,  1.237565792575894E+01, -1.330243092128282E+01, -2.702906496000254E+00,
2458545.500000000, A.D. 2019-Mar-03 00:00:00.0000, -2.677821817363605E+08, -2.980047134397494E+08,  3.990753984795105E+07,  1.242253699449072E+01, -1.325028852788062E+01, -2.709908648709612E+00,
2458546.500000000, A.D. 2019-Mar-04 00:00:00.0000, -2.667068575390869E+08, -2.991472802002080E+08,  3.967310293220241E+07,  1.246918894582245E+01, -1.319799022063491E+01, -2.716864006160597E+00,
2458547.500000000, A.D. 2019-Mar-05 00:00:00.0000, -2.656275124387006E+08, -3.002853216920040E+08,  3.943806709643854E+07,  1.251561339116085E+01, -1.314553712619766E+01, -2.723772531978541E+00,
2458548.500000000, A.D. 2019-Mar-06 00:00:00.0000, -2.645441661082940E+08, -3.014188245901788E+08,  3.920243638844527E+07,  1.256180994781916E+01, -1.309293037076551E+01, -2.730634190862447E+00,
2458549.500000000, A.D. 2019-Mar-07 00:00:00.0000, -2.634568382537689E+08, -3.025477756670563E+08,  3.896621485901211E+07,  1.260777823899679E+01, -1.304017108003696E+01, -2.737448948580746E+00,
2458550.500000000, A.D. 2019-Mar-08 00:00:00.0000, -2.623655486133296E+08, -3.036721617921979E+08,  3.872940656184028E+07,  1.265351789375873E+01, -1.298726037918303E+01, -2.744216771966185E+00,
2458551.500000000, A.D. 2019-Mar-09 00:00:00.0000, -2.612703169569761E+08, -3.047919699323565E+08,  3.849201555345079E+07,  1.269902854702023E+01, -1.293419939280844E+01, -2.750937628912363E+00,
2458552.500000000, A.D. 2019-Mar-10 00:00:00.0000, -2.601711630860001E+08, -3.059071871514245E+08,  3.825404589309299E+07,  1.274430983951889E+01, -1.288098924492939E+01, -2.757611488366826E+00,
2458553.500000000, A.D. 2019-Mar-11 00:00:00.0000, -2.590681068324822E+08, -3.070178006103832E+08,  3.801550164265378E+07,  1.278936141779709E+01, -1.282763105893692E+01, -2.764238320327039E+00,
2458554.500000000, A.D. 2019-Mar-12 00:00:00.0000, -2.579611680587924E+08, -3.081237975672464E+08,  3.777638686656719E+07,  1.283418293418525E+01, -1.277412595756377E+01, -2.770818095836484E+00,
2458555.500000000, A.D. 2019-Mar-13 00:00:00.0000, -2.568503666570899E+08, -3.092251653770028E+08,  3.753670563172401E+07,  1.287877404677429E+01, -1.272047506285777E+01, -2.777350786978011E+00,
2458556.500000000, A.D. 2019-Mar-14 00:00:00.0000, -2.557357225488263E+08, -3.103218914915552E+08,  3.729646200738236E+07,  1.292313441939746E+01, -1.266667949614844E+01, -2.783836366869675E+00,
2458557.500000000, A.D. 2019-Mar-15 00:00:00.0000, -2.546172556842512E+08, -3.114139634596571E+08,  3.705566006507844E+07,  1.296726372160967E+01, -1.261274037801671E+01, -2.790274809659920E+00,
2458558.500000000, A.D. 2019-Mar-16 00:00:00.0000, -2.534949860419182E+08, -3.125013689268466E+08,  3.681430387853763E+07,  1.301116162866421E+01, -1.255865882826523E+01, -2.796666090522095E+00,
2458559.500000000, A.D. 2019-Mar-17 00:00:00.0000, -2.523689336281933E+08, -3.135840956353785E+08,  3.657239752358635E+07,  1.305482782149165E+01, -1.250443596588817E+01, -2.803010185649595E+00,
2458560.500000000, A.D. 2019-Mar-18 00:00:00.0000, -2.512391184767658E+08, -3.146621314241521E+08,  3.632994507806389E+07,  1.309826198667772E+01, -1.245007290904159E+01, -2.809307072250721E+00,
2458561.500000000, A.D. 2019-Mar-19 00:00:00.0000, -2.501055606481608E+08, -3.157354642286389E+08,  3.608695062173526E+07,  1.314146381644155E+01, -1.239557077501444E+01, -2.815556728543664E+00,
2458562.500000000, A.D. 2019-Mar-20 00:00:00.0000, -2.489682802292528E+08, -3.168040820808048E+08,  3.584341823620376E+07,  1.318443300861275E+01, -1.234093068019881E+01, -2.821759133751271E+00,
2458563.500000000, A.D. 2019-Mar-21 00:00:00.0000, -2.478272973327821E+08, -3.178679731090328E+08,  3.559935200482483E+07,  1.322716926660928E+01, -1.228615374006134E+01, -2.827914268095959E+00,
2458564.500000000, A.D. 2019-Mar-22 00:00:00.0000, -2.466826320968735E+08, -3.189271255380410E+08,  3.535475601261951E+07,  1.326967229941488E+01, -1.223124106911468E+01, -2.834022112794586E+00,
2458565.500000000, A.D. 2019-Mar-23 00:00:00.0000, -2.455343046845556E+08, -3.199815276887992E+08,  3.510963434618913E+07,  1.331194182155619E+01, -1.217619378088895E+01, -2.840082650053267E+00,
2458566.500000000, A.D. 2019-Mar-24 00:00:00.0000, -2.443823352832837E+08, -3.210311679784425E+08,  3.486399109362963E+07,  1.335397755307986E+01, -1.212101298790352E+01, -2.846095863062224E+00,
2458567.500000000, A.D. 2019-Mar-25 00:00:00.0000, -2.432267441044628E+08, -3.220760349201835E+08,  3.461783034444721E+07,  1.339577921952996E+01, -1.206569980163960E+01, -2.852061735990573E+00,
2458568.500000000, A.D. 2019-Mar-26 00:00:00.0000, -2.420675513829749E+08, -3.231161171232204E+08,  3.437115618947361E+07,  1.343734655192424E+01, -1.201025533251178E+01, -2.857980253981209E+00,
2458569.500000000, A.D. 2019-Mar-27 00:00:00.0000, -2.409047773767060E+08, -3.241514032926446E+08,  3.412397272078234E+07,  1.347867928673133E+01, -1.195468068984114E+01, -2.863851403145582E+00,
2458570.500000000, A.D. 2019-Mar-28 00:00:00.0000, -2.397384423660768E+08, -3.251818822293442E+08,  3.387628403160541E+07,  1.351977716584732E+01, -1.189897698182790E+01, -2.869675170558519E+00,
2458571.500000000, A.D. 2019-Mar-29 00:00:00.0000, -2.385685666535744E+08, -3.262075428299068E+08,  3.362809421624988E+07,  1.356063993657242E+01, -1.184314531552464E+01, -2.875451544253020E+00,
2458572.500000000, A.D. 2019-Mar-30 00:00:00.0000, -2.373951705632867E+08, -3.272283740865186E+08,  3.337940737001570E+07,  1.360126735158744E+01, -1.178718679680949E+01, -2.881180513215092E+00,
2458573.500000000, A.D. 2019-Mar-31 00:00:00.0000, -2.362182744404382E+08, -3.282443650868619E+08,  3.313022758911338E+07,  1.364165916893024E+01, -1.173110253035969E+01, -2.886862067378543E+00,
2458574.500000000, A.D. 2019-Apr-01 00:00:00.0000, -2.350378986509286E+08, -3.292555050140105E+08,  3.288055897058256E+07,  1.368181515197243E+01, -1.167489361962497E+01, -2.892496197619929E+00,
2458575.500000000, A.D. 2019-Apr-02 00:00:00.0000, -2.338540635808724E+08, -3.302617831463224E+08,  3.263040561221032E+07,  1.372173506939422E+01, -1.161856116680359E+01, -2.898082895752834E+00,
2458576.500000000, A.D. 2019-Apr-03 00:00:00.0000, -2.326667896361419E+08, -3.312631888573298E+08,  3.237977161245099E+07,  1.376141869516272E+01, -1.156210627281375E+01, -2.903622154523446E+00,
2458577.500000000, A.D. 2019-Apr-04 00:00:00.0000, -2.314760972419111E+08, -3.322597116156291E+08,  3.212866107034540E+07,  1.380086580850685E+01, -1.150553003727002E+01, -2.909113967604893E+00,
2458578.500000000, A.D. 2019-Apr-05 00:00:00.0000, -2.302820068422021E+08, -3.332513409847652E+08,  3.187707808544123E+07,  1.384007619389368E+01, -1.144883355845783E+01, -2.914558329592167E+00,
2458579.500000000, A.D. 2019-Apr-06 00:00:00.0000, -2.290845388994336E+08, -3.342380666231173E+08,  3.162502675771354E+07,  1.387904964100420E+01, -1.139201793330880E+01, -2.919955235996832E+00,
2458580.500000000, A.D. 2019-Apr-07 00:00:00.0000, -2.278837138939716E+08, -3.352198782837797E+08,  3.137251118748565E+07,  1.391778594470956E+01, -1.133508425737595E+01, -2.925304683241936E+00,
2458581.500000000, A.D. 2019-Apr-08 00:00:00.0000, -2.266795523236818E+08, -3.361967658144423E+08,  3.111953547535089E+07,  1.395628490504688E+01, -1.127803362480948E+01, -2.930606668656784E+00,
2458582.500000000, A.D. 2019-Apr-09 00:00:00.0000, -2.254720747034844E+08, -3.371687191572676E+08,  3.086610372209431E+07,  1.399454632719553E+01, -1.122086712833300E+01, -2.935861190471793E+00,
2458583.500000000, A.D. 2019-Apr-10 00:00:00.0000, -2.242613015649107E+08, -3.381357283487675E+08,  3.061222002861506E+07,  1.403257002145081E+01, -1.116358585921848E+01, -2.941068247813039E+00,
2458584.500000000, A.D. 2019-Apr-11 00:00:00.0000, -2.230472534556626E+08, -3.390977835196763E+08,  3.035788849584945E+07,  1.407035580320276E+01, -1.110619090726470E+01, -2.946227840697451E+00,
2458585.500000000, A.D. 2019-Apr-12 00:00:00.0000, -2.218299509391730E+08, -3.400548748948216E+08,  3.010311322469375E+07,  1.410790349290977E+01, -1.104868336077288E+01, -2.951339970027354E+00,
2458586.500000000, A.D. 2019-Apr-13 00:00:00.0000, -2.206094145941691E+08, -3.410069927929959E+08,  2.984789831592856E+07,  1.414521291607460E+01, -1.099106430652397E+01, -2.956404637585309E+00,
2458587.500000000, A.D. 2019-Apr-14 00:00:00.0000, -2.193856650142375E+08, -3.419541276268221E+08,  2.959224787014239E+07,  1.418228390321968E+01, -1.093333482975588E+01, -2.961421846028894E+00,
2458588.500000000, A.D. 2019-Apr-15 00:00:00.0000, -2.181587228073919E+08, -3.428962699026204E+08,  2.933616598765649E+07,  1.421911628986270E+01, -1.087549601414120E+01, -2.966391598885515E+00,
2458589.500000000, A.D. 2019-Apr-16 00:00:00.0000, -2.169286085956423E+08, -3.438334102202724E+08,  2.907965676845019E+07,  1.425570991649185E+01, -1.081754894176531E+01, -2.971313900547137E+00,
2458590.500000000, A.D. 2019-Apr-17 00:00:00.0000, -2.156953430145667E+08, -3.447655392730820E+08,  2.882272431208596E+07,  1.429206462854154E+01, -1.075949469310355E+01, -2.976188756265282E+00,
